#Time	Density	Energy
0	0.500945179584121	0.41776937618147447
1	0.5311909262759924	0.391304347826087
2	0.5255198487712666	0.33459357277882795
3	0.5122873345935728	0.2665406427221172
4	0.499054820415879	0.2495274102079395
5	0.4952741020793951	0.2646502835538752
6	0.5368620037807184	0.2722117202268431
7	0.5179584120982986	0.20226843100189035
8	0.5066162570888468	0.166351606805293
9	0.499054820415879	0.15311909262759923
10	0.5085066162570888	0.1776937618147448
11	0.5141776937618148	0.16824196597353497
12	0.5122873345935728	0.1890359168241966
13	0.5179584120982986	0.15311909262759923
14	0.5255198487712666	0.15689981096408318
15	0.5103969754253308	0.15311909262759923
16	0.5198487712665406	0.1720226843100189
17	0.499054820415879	0.1720226843100189
18	0.5160680529300568	0.16824196597353497
19	0.5141776937618148	0.14177693761814744
20	0.499054820415879	0.12476370510396975
21	0.5160680529300568	0.14555765595463138
22	0.499054820415879	0.12476370510396975
23	0.4952741020793951	0.1266540642722117
24	0.497164461247637	0.1001890359168242
25	0.497164461247637	0.10586011342155009
26	0.5085066162570888	0.1323251417769376
27	0.499054820415879	0.14177693761814744
28	0.5066162570888468	0.1266540642722117
29	0.5160680529300568	0.1342155009451796
30	0.5141776937618148	0.1342155009451796
31	0.5085066162570888	0.10207939508506617
32	0.497164461247637	0.10586011342155009
33	0.504725897920605	0.1323251417769376
34	0.5066162570888468	0.12287334593572778
35	0.5103969754253308	0.13988657844990549
36	0.500945179584121	0.13610586011342155
37	0.500945179584121	0.14744801512287334
38	0.5085066162570888	0.13799621928166353
39	0.5066162570888468	0.1285444234404537
40	0.502835538752363	0.14933837429111532
41	0.497164461247637	0.15500945179584122
42	0.5160680529300568	0.1323251417769376
43	0.5274102079395085	0.14177693761814744
44	0.5274102079395085	0.11909262759924386
45	0.5179584120982986	0.10964083175803403
46	0.5179584120982986	0.10964083175803403
47	0.500945179584121	0.08695652173913043
48	0.5141776937618148	0.11909262759924386
49	0.504725897920605	0.10775047258979206
50	0.4933837429111531	0.10207939508506617
51	0.5103969754253308	0.1001890359168242
52	0.5066162570888468	0.10396975425330812
53	0.499054820415879	0.11342155009451796
54	0.5160680529300568	0.11909262759924386
55	0.5103969754253308	0.12476370510396975
56	0.5066162570888468	0.1342155009451796
57	0.5160680529300568	0.09073724007561437
58	0.500945179584121	0.10586011342155009
59	0.5179584120982986	0.10586011342155009
60	0.502835538752363	0.08128544423440454
61	0.5122873345935728	0.10775047258979206
62	0.5085066162570888	0.09640831758034027
63	0.5103969754253308	0.09829867674858223
64	0.4839319470699433	0.11153119092627599
65	0.504725897920605	0.12287334593572778
66	0.504725897920605	0.1323251417769376
67	0.497164461247637	0.11342155009451796
68	0.5179584120982986	0.13799621928166353
69	0.502835538752363	0.11720226843100189
70	0.5198487712665406	0.12287334593572778
71	0.5217391304347826	0.11153119092627599
72	0.5066162570888468	0.09829867674858223
73	0.5160680529300568	0.1001890359168242
74	0.5103969754253308	0.0945179584120983
75	0.499054820415879	0.09829867674858223
76	0.5103969754253308	0.0831758034026465
77	0.5141776937618148	0.08695652173913043
78	0.5198487712665406	0.0945179584120983
79	0.5160680529300568	0.06805293005671077
80	0.5179584120982986	0.06427221172022685
81	0.5141776937618148	0.07561436672967864
82	0.5085066162570888	0.062381852551984876
83	0.500945179584121	0.06049149338374291
84	0.5085066162570888	0.05860113421550094
85	0.5085066162570888	0.07183364839319471
86	0.500945179584121	0.04725897920604915
87	0.5122873345935728	0.04725897920604915
88	0.5141776937618148	0.05103969754253308
89	0.5085066162570888	0.04725897920604915
90	0.4914933837429111	0.05103969754253308
91	0.504725897920605	0.07183364839319471
92	0.4896030245746692	0.05860113421550094
93	0.5085066162570888	0.0945179584120983
94	0.499054820415879	0.09262759924385633
95	0.502835538752363	0.07750472589792061
96	0.4820415879017013	0.07750472589792061
97	0.499054820415879	0.10586011342155009
98	0.5066162570888468	0.10964083175803403
99	0.4914933837429111	0.0945179584120983
100	0.5066162570888468	0.10964083175803403
101	0.4914933837429111	0.07750472589792061
102	0.497164461247637	0.0945179584120983
103	0.5085066162570888	0.10396975425330812
104	0.502835538752363	0.08506616257088846
105	0.5160680529300568	0.1001890359168242
106	0.5122873345935728	0.0945179584120983
107	0.5103969754253308	0.09640831758034027
108	0.5236294896030246	0.0831758034026465
109	0.5103969754253308	0.07372400756143667
110	0.5066162570888468	0.05103969754253308
111	0.497164461247637	0.06049149338374291
112	0.5066162570888468	0.08506616257088846
113	0.5085066162570888	0.0888468809073724
114	0.5085066162570888	0.07561436672967864
115	0.5160680529300568	0.06994328922495274
